requirement_id,phase,priority,swimlane,capability,description,dependencies
REQ-001,Phase 1,P0,Govern,Architectural Principle: 1: Governance First,Claravine,
REQ-002,Phase 1,P0,Govern,Architectural Principle: 1: Governance First,API-enforced,
REQ-003,Phase 1,P0,Govern,Architectural Principle: 1: Governance First,Real-time,
REQ-004,Phase 1,P0,Govern,Architectural Principle: 1: Governance First,Automated,
REQ-005,Phase 1,P0,Govern,Architectural Principle: 2: Single Source of Truth,Salesforce,
REQ-006,Phase 1,P0,Govern,Architectural Principle: 2: Single Source of Truth,Data,
REQ-007,Phase 1,P0,Govern,Architectural Principle: 2: Single Source of Truth,Real-time,
REQ-008,Phase 1,P0,Govern,Architectural Principle: 2: Single Source of Truth,Golden,
REQ-009,Phase 1,P0,Govern,Architectural Principle: 2: Single Source of Truth,Change,
REQ-010,Phase 1,P0,Govern,Architectural Principle: 3: Compliance by Design,ClaimID,
REQ-011,Phase 1,P0,Govern,Architectural Principle: 3: Compliance by Design,Content-to-Claim,
REQ-012,Phase 1,P0,Govern,Architectural Principle: 3: Compliance by Design,Automated,
REQ-013,Phase 1,P0,Govern,Architectural Principle: 3: Compliance by Design,Journey-level,
REQ-014,Phase 1,P0,Govern,Architectural Principle: 3: Compliance by Design,Expiry,
REQ-015,Phase 1,P0,Govern,Architectural Principle: 3: Compliance by Design,Off-label,
REQ-016,Phase 1,P0,Govern,Architectural Principle: 3: Compliance by Design,Consent,
REQ-017,Phase 1,P0,Govern,Architectural Principle: 3: Compliance by Design,Adverse,
REQ-018,Phase 1,P0,Execute,Architectural Principle: 4: Agency Enablement,Agency,
REQ-019,Phase 1,P0,Execute,Architectural Principle: 4: Agency Enablement,Pre-configured,
REQ-020,Phase 1,P0,Execute,Architectural Principle: 4: Agency Enablement,Content,
REQ-021,Phase 1,P0,Execute,Architectural Principle: 4: Agency Enablement,API,
REQ-022,Phase 1,P0,Execute,Architectural Principle: 4: Agency Enablement,Automated,
REQ-023,Phase 1,P0,Execute,Architectural Principle: 4: Agency Enablement,Agency,
REQ-024,Phase 1,P0,Measure & Learn,Architectural Principle: 5: Measurement Readiness,Standardized,
REQ-025,Phase 1,P0,Measure & Learn,Architectural Principle: 5: Measurement Readiness,Event,
REQ-026,Phase 1,P0,Measure & Learn,Architectural Principle: 5: Measurement Readiness,UTM,
REQ-027,Phase 1,P0,Measure & Learn,Architectural Principle: 5: Measurement Readiness,Server-side,
REQ-028,Phase 1,P0,Measure & Learn,Architectural Principle: 5: Measurement Readiness,Event,
REQ-029,Phase 1,P0,Measure & Learn,Architectural Principle: 5: Measurement Readiness,Event,
REQ-030,Phase 1,P0,Measure & Learn,Architectural Principle: 5: Measurement Readiness,Cross-device,
REQ-031,Phase 1,P0,Govern,Architectural Principle: 6: Auditability,Version,
REQ-032,Phase 1,P0,Govern,Architectural Principle: 6: Auditability,Immutable,
REQ-033,Phase 1,P0,Govern,Architectural Principle: 6: Auditability,Approval,
REQ-034,Phase 1,P0,Govern,Architectural Principle: 6: Auditability,Content,
REQ-035,Phase 1,P0,Govern,Architectural Principle: 6: Auditability,Claim,
REQ-036,Phase 1,P0,Govern,Architectural Principle: 6: Auditability,Regulatory,
REQ-037,Phase 1,P0,Govern,Architectural Principle: 6: Auditability,Legal,
REQ-038,Phase 1,P0,Govern,Architectural Principle: 6: Auditability,Audit,
REQ-039,Phase 1,P0,Govern,Customer Master Data Management,Person Account Model,REQ-005
REQ-040,Phase 1,P0,Govern,Customer Master Data Management,Hierarchical Relationships,REQ-039
REQ-041,Phase 1,P0,Govern,Customer Master Data Management,Pharma-Specific Attributes,REQ-039
REQ-042,Phase 1,P0,Govern,Customer Master Data Management,Data Quality Rules,REQ-005
REQ-043,Phase 1,P0,Govern,Customer Master Data Management,Duplicate Detection,REQ-042
REQ-044,Phase 1,P0,Govern,Identity Resolution and Cross-Channel Recognition,Deterministic Matching,REQ-006
REQ-045,Phase 2,P1,Govern,Identity Resolution and Cross-Channel Recognition,Probabilistic Matching,REQ-044
REQ-046,Phase 2,P1,Govern,Identity Resolution and Cross-Channel Recognition,Device Graph,REQ-006
REQ-047,Phase 2,P1,Govern,Identity Resolution and Cross-Channel Recognition,Cross-Domain Tracking,REQ-006
REQ-048,Phase 2,P1,Govern,Identity Resolution and Cross-Channel Recognition,Anonymous-to-Known Resolution,REQ-006
REQ-049,Phase 3,P2,Govern,Identity Resolution and Cross-Channel Recognition,Household Clustering,REQ-045
REQ-050,Phase 1,P0,Govern,Campaign Taxonomy and Metadata Governance,Naming Convention Standards,REQ-001
REQ-051,Phase 1,P0,Govern,Campaign Taxonomy and Metadata Governance,Campaign Hierarchy,REQ-050
REQ-052,Phase 1,P0,Govern,Campaign Taxonomy and Metadata Governance,UTM Parameter Standards,REQ-050
REQ-053,Phase 1,P0,Govern,Campaign Taxonomy and Metadata Governance,Content Metadata Schema,REQ-050
REQ-054,Phase 2,P1,Govern,Campaign Taxonomy and Metadata Governance,Creative Versioning,REQ-053
REQ-055,Phase 2,P1,Govern,Campaign Taxonomy and Metadata Governance,Placement Taxonomy,REQ-050
REQ-056,Phase 1,P0,Govern,Consent and Preference Management,Preference Center,REQ-005
REQ-057,Phase 1,P0,Govern,Consent and Preference Management,Opt-In/Out Workflow,REQ-056
REQ-058,Phase 1,P0,Govern,Consent and Preference Management,Channel-Specific Consent,REQ-056
REQ-059,Phase 2,P1,Govern,Consent and Preference Management,Purpose-Based Consent,REQ-056
REQ-060,Phase 1,P0,Govern,Consent and Preference Management,Consent Propagation Service,REQ-056
REQ-061,Phase 1,P0,Govern,Consent and Preference Management,Consent Enforcement API,REQ-060
REQ-062,Phase 2,P1,Govern,Consent and Preference Management,Consent Reporting Dashboard,REQ-056-061
REQ-063,Phase 1,P0,Segment,Demographic and Firmographic Segmentation,Demographic Segmentation,"REQ-005, 039, 041"
REQ-064,Phase 1,P0,Segment,Demographic and Firmographic Segmentation,HCP Segmentation,REQ-063
REQ-065,Phase 1,P0,Segment,Demographic and Firmographic Segmentation,Institutional Segmentation,REQ-063
REQ-066,Phase 2,P1,Segment,Demographic and Firmographic Segmentation,Payer/Pharmacy Segmentation,REQ-063
REQ-067,Phase 1,P0,Segment,Demographic and Firmographic Segmentation,Geographic Segmentation,REQ-063
REQ-068,Phase 1,P0,Segment,Demographic and Firmographic Segmentation,Segment Builder Interface,REQ-063-067
REQ-069,Phase 1,P0,Segment,Behavioral and Engagement Segmentation,Web/Mobile Engagement Scoring,REQ-024-030
REQ-070,Phase 1,P0,Segment,Behavioral and Engagement Segmentation,Email Engagement Segmentation,REQ-069
REQ-071,Phase 2,P1,Segment,Behavioral and Engagement Segmentation,Event Participation Tracking,REQ-069
REQ-072,Phase 2,P1,Segment,Behavioral and Engagement Segmentation,Sales Interaction History,REQ-069
REQ-073,Phase 2,P1,Segment,Behavioral and Engagement Segmentation,Patient Program Engagement,REQ-069
REQ-074,Phase 2,P1,Segment,Behavioral and Engagement Segmentation,Content Consumption Patterns,REQ-069
REQ-075,Phase 2,P1,Segment,Behavioral and Engagement Segmentation,Multi-Channel Engagement Score,REQ-069-074
REQ-076,Phase 3,P2,Segment,Behavioral and Engagement Segmentation,Engagement Velocity Metrics,REQ-075
REQ-077,Phase 2,P1,Segment,Propensity Modeling and Predictive Segmentation,Propensity-to-Prescribe Models,REQ-063-076
REQ-078,Phase 2,P1,Segment,Propensity Modeling and Predictive Segmentation,Patient Adherence Prediction,REQ-077
REQ-079,Phase 3,P2,Segment,Propensity Modeling and Predictive Segmentation,Next-Best-Action Engine,REQ-077-078
REQ-080,Phase 3,P2,Segment,Propensity Modeling and Predictive Segmentation,Churn Prediction Models,REQ-077
REQ-081,Phase 3,P2,Segment,Propensity Modeling and Predictive Segmentation,Lifetime Value Modeling,REQ-077
REQ-082,Phase 3,P2,Segment,Propensity Modeling and Predictive Segmentation,Lookalike Audience Generation,REQ-077
REQ-083,Phase 2,P1,Segment,Propensity Modeling and Predictive Segmentation,Model Registry,REQ-077
REQ-084,Phase 2,P1,Segment,Propensity Modeling and Predictive Segmentation,Model Monitoring/Retraining,REQ-083
REQ-085,Phase 2,P1,Segment,Propensity Modeling and Predictive Segmentation,Model Explainability,REQ-083
REQ-086,Phase 2,P1,Segment,Real-Time Segmentation and Dynamic Audiences,Real-Time Segment Evaluation,"REQ-006, 069-076"
REQ-087,Phase 2,P1,Segment,Real-Time Segmentation and Dynamic Audiences,Event-Driven Rules,REQ-086
REQ-088,Phase 2,P1,Segment,Real-Time Segmentation and Dynamic Audiences,Streaming Data Integration,REQ-086
REQ-089,Phase 2,P1,Segment,Real-Time Segmentation and Dynamic Audiences,Dynamic Audience Sync,REQ-086
REQ-090,Phase 2,P1,Segment,Real-Time Segmentation and Dynamic Audiences,Segment Membership History,REQ-086
REQ-091,Phase 3,P2,Segment,Real-Time Segmentation and Dynamic Audiences,Overlap Analysis,REQ-086
REQ-092,Phase 2,P1,Segment,Real-Time Segmentation and Dynamic Audiences,Segment Performance Analytics,REQ-086
REQ-093,Phase 1,P0,Create,Content Planning and Brief Management,Campaign Brief Template,"REQ-010, 050-053"
REQ-094,Phase 1,P0,Create,Content Planning and Brief Management,Content Request Workflow,REQ-093
REQ-095,Phase 1,P0,Create,Content Planning and Brief Management,Brief Approval Process,REQ-093
REQ-096,Phase 1,P0,Create,Content Planning and Brief Management,Claim Selection Interface,REQ-010
REQ-097,Phase 2,P1,Create,Content Planning and Brief Management,Reference Material Attachment,REQ-093
REQ-098,Phase 2,P1,Create,Content Planning and Brief Management,Brief Status Dashboard,REQ-093-097
REQ-099,Phase 2,P1,Create,Content Creation and Collaboration,Creative Workspace,REQ-093
REQ-100,Phase 2,P1,Create,Content Creation and Collaboration,Template Library,DAM deployment
REQ-101,Phase 2,P1,Create,Content Creation and Collaboration,Component Library,REQ-100
REQ-102,Phase 2,P1,Create,Content Creation and Collaboration,Real-Time Collaboration,REQ-099
REQ-103,Phase 2,P1,Create,Content Creation and Collaboration,Inline Commenting,REQ-099
REQ-104,Phase 1,P0,Create,Content Creation and Collaboration,Version Control,DAM deployment
REQ-105,Phase 2,P1,Create,Content Creation and Collaboration,Asset Preview,REQ-099
REQ-106,Phase 2,P1,Create,Content Creation and Collaboration,Citation Management,REQ-035
